FEN,Evaluation
2rq1rk1/pp1b2pp/1n1bp3/3n1p2/3P4/P1NQ1N2/1PB2PPP/R1B1R1K1 w - - 0 16,81
2rq1rk1/pp1b2pp/1n1bp3/3n1p2/3P4/PBNQ1N2/1P3PPP/R1B1R1K1 b - - 1 16,41
2r2rk1/ppqb2pp/1n1bp3/3n1p2/3P4/PBNQ1N2/1P3PPP/R1B1R1K1 w - - 2 17,92
2r2rk1/ppqb2pp/1n1bp3/3N1p2/3P4/PB1Q1N2/1P3PPP/R1B1R1K1 b - - 0 17,34
2r2rk1/ppqb2pp/1n1b4/3p1p2/3P4/PB1Q1N2/1P3PPP/R1B1R1K1 w - - 0 18,101
2r2rk1/ppqb2pp/1n1b4/3pNp2/3P4/PB1Q4/1P3PPP/R1B1R1K1 b - - 1 18,35
2r2rk1/ppqb2pp/3b4/3pNp2/2nP4/PB1Q4/1P3PPP/R1B1R1K1 w - - 2 19,99
2r2rk1/ppqb2pp/3b4/3pNp2/2nP1B2/PB1Q4/1P3PPP/R3R1K1 b - - 3 19,32
2r2rk1/ppq3pp/3bb3/3pNp2/2nP1B2/PB1Q4/1P3PPP/R3R1K1 w - - 4 20,100
2r2rk1/ppq3pp/3bb3/3pNp2/2nP1B2/PB6/1P2QPPP/R3R1K1 b - - 5 20,46
2r1r1k1/ppq3pp/3bb3/3pNp2/2nP1B2/PB6/1P2QPPP/R3R1K1 w - - 6 21,214
2r1r1k1/ppq3pp/3bb3/3pNp2/B1nP1B2/P7/1P2QPPP/R3R1K1 b - - 7 21,218
2r1r1k1/ppq3pp/4b3/3pbp2/B1nP1B2/P7/1P2QPPP/R3R1K1 w - - 0 22,287
2r1B1k1/ppq3pp/4b3/3pbp2/2nP1B2/P7/1P2QPPP/R3R1K1 b - - 0 22,251
4r1k1/ppq3pp/4b3/3pbp2/2nP1B2/P7/1P2QPPP/R3R1K1 w - - 0 23,276
4r1k1/ppq3pp/4b3/3pBp2/2nP4/P7/1P2QPPP/R3R1K1 b - - 0 23,252
4r1k1/pp4pp/1q2b3/3pBp2/2nP4/P7/1P2QPPP/R3R1K1 w - - 1 24,349
4r1k1/pp4pp/1q2b3/3pBp2/2nP4/PP6/4QPPP/R3R1K1 b - - 0 24,260
4r1k1/pp4pp/4b3/3pBp2/2nP4/Pq6/4QPPP/R3R1K1 w - - 0 25,304
4r1k1/pp4pp/4b3/3pBp2/2nP4/Pq6/4QPPP/1R2R1K1 b - - 1 25,302
4r1k1/pp4pp/4b3/3pBp2/2nP4/q7/4QPPP/1R2R1K1 w - - 0 26,304
4r1k1/pR4pp/4b3/3pBp2/2nP4/q7/4QPPP/4R1K1 b - - 0 26,291
4r1k1/pR3bpp/8/3pBp2/2nP4/q7/4QPPP/4R1K1 w - - 1 27,323
4r1k1/pR3bpp/8/3pBp2/2nP4/q6P/4QPP1/4R1K1 b - - 0 27,280
4r1k1/1R3bpp/8/p2pBp2/2nP4/q6P/4QPP1/4R1K1 w - - 0 28,388
4r1k1/1R3bpp/8/p2pBp2/2nP4/q6P/4QPP1/1R4K1 b - - 1 28,352
4r1k1/1R3bpp/8/3pBp2/p1nP4/q6P/4QPP1/1R4K1 w - - 0 29,815
4r1k1/5Rpp/8/3pBp2/p1nP4/q6P/4QPP1/1R4K1 b - - 0 29,823
4r3/5kpp/8/3pBp2/p1nP4/q6P/4QPP1/1R4K1 w - - 0 30,1115
4r3/5kpp/8/3pBp1Q/p1nP4/q6P/5PP1/1R4K1 b - - 1 30,1169
4rk2/6pp/8/3pBp1Q/p1nP4/q6P/5PP1/1R4K1 w - - 2 31,1128
4rk2/6Bp/8/3p1p1Q/p1nP4/q6P/5PP1/1R4K1 b - - 0 31,1107
r1bq1rk1/pp1nbppp/4p3/4N3/3P4/2PB4/P4PPP/R1BQ1RK1 w - - 3 12,119
r1bq1rk1/pp1nbppp/4p3/4N2Q/3P4/2PB4/P4PPP/R1B2RK1 b - - 4 12,-30
r1bq1rk1/pp1nb1pp/4p3/4Np1Q/3P4/2PB4/P4PPP/R1B2RK1 w - - 0 13,98
r1bq1rk1/pp1nb1pp/4p3/4Np1Q/3P1B2/2PB4/P4PPP/R4RK1 b - - 1 13,65
r1bq1rk1/pp2b1pp/4p3/4np1Q/3P1B2/2PB4/P4PPP/R4RK1 w - - 0 14,93
r1bq1rk1/pp2b1pp/4p3/4Bp1Q/3P4/2PB4/P4PPP/R4RK1 b - - 0 14,39
r2q1rk1/pp1bb1pp/4p3/4Bp1Q/3P4/2PB4/P4PPP/R4RK1 w - - 1 15,84
r2q1rk1/pp1bb1pp/4p3/4Bp1Q/3P4/2PB4/P4PPP/R3R1K1 b - - 2 15,47
2rq1rk1/pp1bb1pp/4p3/4Bp1Q/3P4/2PB4/P4PPP/R3R1K1 w - - 3 16,103
2rq1rk1/pp1bb1pp/4p3/4Bp1Q/3P4/2PBR3/P4PPP/R5K1 b - - 4 16,15
2rqbrk1/pp2b1pp/4p3/4Bp1Q/3P4/2PBR3/P4PPP/R5K1 w - - 5 17,110
2rqbrk1/pp2b1pp/4p3/4Bp2/3P4/2PBR3/P3QPPP/R5K1 b - - 6 17,90
2rq1rk1/pp2bbpp/4p3/4Bp2/3P4/2PBR3/P3QPPP/R5K1 w - - 7 18,117
2rq1rk1/pp2bbpp/4p3/4Bp2/3P4/2PBR3/P3QPPP/1R4K1 b - - 8 18,53
3q1rk1/pp2bbpp/4p3/4Bp2/3P4/2rBR3/P3QPPP/1R4K1 w - - 0 19,143
3q1rk1/pp2bbpp/4p3/4Bp2/3P4/2rBR3/P2Q1PPP/1R4K1 b - - 1 19,15
2q2rk1/pp2bbpp/4p3/4Bp2/3P4/2rBR3/P2Q1PPP/1R4K1 w - - 2 20,39
2q2rk1/pp2bbpp/4p3/4Bp2/3P4/2rB2R1/P2Q1PPP/1R4K1 b - - 3 20,-97
2q2rk1/pp2b1pp/4p1b1/4Bp2/3P4/2rB2R1/P2Q1PPP/1R4K1 w - - 4 21,-62
2q2rk1/pp2b1pp/4p1b1/4Bp2/3P4/2r3R1/P2QBPPP/1R4K1 b - - 5 21,-120
2q2rk1/pp2b1pp/4p1b1/4Bp2/3P4/6R1/P1rQBPPP/1R4K1 w - - 6 22,-65
2q2rk1/pp2b1pp/4p1b1/4Bp2/3P4/6R1/P1r1BPPP/1R1Q2K1 b - - 7 22,-93
2q2rk1/1p2b1pp/p3p1b1/4Bp2/3P4/6R1/P1r1BPPP/1R1Q2K1 w - - 0 23,16
2q2rk1/1p2b1pp/p3p1b1/4Bp2/3P4/1R6/P1r1BPPP/1R1Q2K1 b - - 1 23,13
2q2rk1/4b1pp/p3p1b1/1p2Bp2/3P4/1R6/P1r1BPPP/1R1Q2K1 w - - 0 24,41
2q2rk1/4b1pp/p3p1b1/1p2Bp2/3P4/PR6/2r1BPPP/1R1Q2K1 b - - 0 24,-160
2qr2k1/4b1pp/p3p1b1/1p2Bp2/3P4/PR6/2r1BPPP/1R1Q2K1 w - - 1 25,0
2qr2k1/4b1pp/p3p1b1/1p2Bp2/3P4/PR1B4/2r2PPP/1R1Q2K1 b - - 2 25,-110
2qr2k1/4b1pp/p1r1p1b1/1p2Bp2/3P4/PR1B4/5PPP/1R1Q2K1 w - - 3 26,-48
2qr2k1/4b1pp/p1r1p1b1/1p2Bp2/3P2P1/PR1B4/5P1P/1R1Q2K1 b - - 0 26,-232
3r2k1/3qb1pp/p1r1p1b1/1p2Bp2/3P2P1/PR1B4/5P1P/1R1Q2K1 w - - 1 27,-117
3r2k1/3qb1pp/p1r1p1b1/1p2Bp2/P2P2P1/1R1B4/5P1P/1R1Q2K1 b - - 0 27,-138
3r2k1/3qb1pp/p1r1p1b1/4Bp2/Pp1P2P1/1R1B4/5P1P/1R1Q2K1 w - - 0 28,-108
3r2k1/3qb1pp/p1r1p1b1/4Bp2/Pp1P2P1/1R1B4/4QP1P/1R4K1 b - - 1 28,-274
2r3k1/3qb1pp/p1r1p1b1/4Bp2/Pp1P2P1/1R1B4/4QP1P/1R4K1 w - - 2 29,-253
2r3k1/3qb1pp/p1r1p1b1/4Bp2/Pp1P2P1/1R1B4/4QPKP/1R6 b - - 3 29,-441
2r3k1/1q2b1pp/p1r1p1b1/4Bp2/Pp1P2P1/1R1B4/4QPKP/1R6 w - - 4 30,-192
2r3k1/1q2b1pp/p1r1p1b1/4Bp2/Pp1P2P1/1R1B2K1/4QP1P/1R6 b - - 5 30,-663
2r3k1/1q2b1pp/2r1p1b1/p3Bp2/Pp1P2P1/1R1B2K1/4QP1P/1R6 w - - 0 31,-246
2r3k1/1q2b1pp/2r1p1b1/p2PBp2/Pp4P1/1R1B2K1/4QP1P/1R6 b - - 0 31,-329
2r3k1/1q2b1pp/2r3b1/p2pBp2/Pp4P1/1R1B2K1/4QP1P/1R6 w - - 0 32,-279
2r3k1/1q2b1pp/2r3b1/p2pBP2/Pp6/1R1B2K1/4QP1P/1R6 b - - 0 32,-315
2r3k1/1q2bbpp/2r5/p2pBP2/Pp6/1R1B2K1/4QP1P/1R6 w - - 1 33,-281
2r3k1/1q2bbpp/2r5/pB1pBP2/Pp6/1R4K1/4QP1P/1R6 b - - 2 33,-353
2r3k1/1q2bbpp/7r/pB1pBP2/Pp6/1R4K1/4QP1P/1R6 w - - 3 34,-286
2r3k1/1q2bbpp/7r/pB1pBP2/Pp6/1R4KP/4QP2/1R6 b - - 0 34,-366
2r3k1/1q2bbpp/7r/pB2BP2/Pp1p4/1R4KP/4QP2/1R6 w - - 0 35,-347
2r3k1/1q2bbpp/7r/pB2BP2/Pp1p4/3R2KP/4QP2/1R6 b - - 1 35,-370
6k1/1q2bbpp/7r/pB2BP2/Pp1p4/2rR2KP/4QP2/1R6 w - - 2 36,-192
6k1/1q2bbpp/7r/pB2BP2/Pp1p4/2rR3P/4QP1K/1R6 b - - 3 36,-346
6k1/1q2b1pp/7r/pB2BP1b/Pp1p4/2rR3P/4QP1K/1R6 w - - 4 37,-289
6k1/1q2b1pp/7r/pB2BP1b/Pp1p4/2rR3P/3Q1P1K/1R6 b - - 5 37,-356
6k1/4b1pp/7r/pB2BP1b/Pp1pq3/2rR3P/3Q1P1K/1R6 w - - 6 38,-306
6k1/4b1pp/7r/pB2BP1b/Pp1pqP2/2rR3P/3Q3K/1R6 b - - 0 38,-1048
6k1/4b1pp/7r/pB2Bq1b/Pp1p1P2/2rR3P/3Q3K/1R6 w - - 0 39,-277
6k1/4b1pp/7r/pB2Bq1b/Pp1p1P2/2rR3P/3Q3K/6R1 b - - 1 39,-319
6k1/4b1pp/6br/pB2Bq2/Pp1p1P2/2rR3P/3Q3K/6R1 w - - 2 40,-160
6k1/4b1pp/6br/pB2Bq2/Pp1p1P2/2rR3P/Q6K/6R1 b - - 3 40,-1026
6k1/4b1pp/6br/pB2Bq2/P2p1P2/1prR3P/Q6K/6R1 w - - 0 41,-993
6k1/4b1pp/6br/pB2Bq2/P2p1P2/1QrR3P/7K/6R1 b - - 0 41,-1696
6k1/4b1pp/6br/pB2Bq2/P2p1P2/1r1R3P/7K/6R1 w - - 0 42,-2043
6k1/4b1pp/6br/p3Bq2/P1Bp1P2/1r1R3P/7K/6R1 b - - 1 42,-1800
5k2/4b1pp/6br/p3Bq2/P1Bp1P2/1r1R3P/7K/6R1 w - - 2 43,-1897
5k2/4b1pp/6br/p3Bq2/P1Bp1P2/1R5P/7K/6R1 b - - 0 43,-1844
5k2/4b1pp/6br/p3B3/P1Bp1P2/1R5P/2q4K/6R1 w - - 1 44,-1939
r1b1kb1r/ppqp2pp/2n1p3/3nPp2/P7/2P2N2/1P2QPPP/RNB1KB1R b KQkq - 0 9,-99
r1b1kb1r/ppqpn1pp/2n1p3/4Pp2/P7/2P2N2/1P2QPPP/RNB1KB1R w KQkq - 1 10,114
r1b1kb1r/ppqpn1pp/2n1p3/4Pp2/P7/N1P2N2/1P2QPPP/R1B1KB1R b KQkq - 2 10,72
r1b1kb1r/ppqp2pp/2n1p1n1/4Pp2/P7/N1P2N2/1P2QPPP/R1B1KB1R w KQkq - 3 11,70
r1b1kb1r/ppqp2pp/2n1p1n1/4Pp2/P1N5/2P2N2/1P2QPPP/R1B1KB1R b KQkq - 4 11,0
r1b1kb1r/p1qp2pp/1pn1p1n1/4Pp2/P1N5/2P2N2/1P2QPPP/R1B1KB1R w KQkq - 0 12,53
r1b1kb1r/p1qp2pp/1pn1p1n1/4Pp2/PPN5/2P2N2/4QPPP/R1B1KB1R b KQkq - 0 12,23
r3kb1r/pbqp2pp/1pn1p1n1/4Pp2/PPN5/2P2N2/4QPPP/R1B1KB1R w KQkq - 1 13,109
r3kb1r/pbqp2pp/1pn1p1n1/4Pp2/PPN4P/2P2N2/4QPP1/R1B1KB1R b KQkq - 0 13,0
r3kbr1/pbqp2pp/1pn1p1n1/4Pp2/PPN4P/2P2N2/4QPP1/R1B1KB1R w KQq - 1 14,205
r3kbr1/pbqp2pp/1pn1p1n1/4Pp1P/PPN5/2P2N2/4QPP1/R1B1KB1R b KQq - 0 14,172
r3kbrn/pbqp2pp/1pn1p3/4Pp1P/PPN5/2P2N2/4QPP1/R1B1KB1R w KQq - 1 15,209
r3kbrn/pbqp2pp/1pn1p3/4Pp1P/PPN2B2/2P2N2/4QPP1/R3KB1R b KQq - 2 15,135
r3kbr1/pbqp1npp/1pn1p3/4Pp1P/PPN2B2/2P2N2/4QPP1/R3KB1R w KQq - 3 16,171
r3kbr1/pbqp1npp/1pn1p3/4PpNP/PPN2B2/2P5/4QPP1/R3KB1R b KQq - 4 16,22
r3kbr1/pbqp2pp/1pn1p3/4PpnP/PPN2B2/2P5/4QPP1/R3KB1R w KQq - 0 17,103
r3kbr1/pbqp2pp/1pn1p3/4PpBP/PPN5/2P5/4QPP1/R3KB1R b KQq - 0 17,27
r2nkbr1/pbqp2pp/1p2p3/4PpBP/PPN5/2P5/4QPP1/R3KB1R w KQq - 1 18,82
r2nkbr1/pbqp2pp/1p2p3/4PpBP/PPN5/2P5/4QPP1/3RKB1R b Kq - 2 18,0
r3kbr1/pbqp1npp/1p2p3/4PpBP/PPN5/2P5/4QPP1/3RKB1R w Kq - 3 19,38
r3kbr1/pbqp1npp/1p2p3/4Pp1P/PPN4B/2P5/4QPP1/3RKB1R b Kq - 4 19,-57
r3kbr1/1bqp1npp/1p2p3/p3Pp1P/PPN4B/2P5/4QPP1/3RKB1R w Kq - 0 20,39
r3kbr1/1bqp1npp/1p2p3/pP2Pp1P/P1N4B/2P5/4QPP1/3RKB1R b Kq - 0 20,-60
rn1qk2r/pb1pb1pp/1p2p3/3nPp2/3P4/2NB1N2/PP3PPP/R1BQ1RK1 w kq f6 0 10,154
rn1qk2r/pb1pb1pp/1p2pP2/3n4/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b kq - 0 10,102
rn1qk2r/pb1pb1pp/1p2pn2/8/3P4/2NB1N2/PP3PPP/R1BQ1RK1 w kq - 0 11,106
rn1qk2r/pb1pb1pp/1p2pn2/6N1/3P4/2NB4/PP3PPP/R1BQ1RK1 b kq - 1 11,42
rn1q1rk1/pb1pb1pp/1p2pn2/6N1/3P4/2NB4/PP3PPP/R1BQ1RK1 w - - 2 12,106
rn1q1rk1/pb1pb1pp/1p2pn2/6N1/3PN3/3B4/PP3PPP/R1BQ1RK1 b - - 3 12,-20
rn1q1rk1/pb1pb1pp/1p2p3/6N1/3Pn3/3B4/PP3PPP/R1BQ1RK1 w - - 0 13,14
rn1q1rk1/pb1pb1pp/1p2p3/8/3PN3/3B4/PP3PPP/R1BQ1RK1 b - - 0 13,-30
r2q1rk1/pb1pb1pp/1pn1p3/8/3PN3/3B4/PP3PPP/R1BQ1RK1 w - - 1 14,0
r2q1rk1/pb1pb1pp/1pn1p3/8/3PN3/8/PP3PPP/RBBQ1RK1 b - - 2 14,-63
r2q1rk1/pb1pb1pp/1p2p3/8/1n1PN3/8/PP3PPP/RBBQ1RK1 w - - 3 15,0
r2q1rk1/pb1pb1pp/1p2p3/8/1n1P4/2N5/PP3PPP/RBBQ1RK1 b - - 4 15,-47
r3qrk1/pb1pb1pp/1p2p3/8/1n1P4/2N5/PP3PPP/RBBQ1RK1 w - - 5 16,-5
r3qrk1/pb1pb1pp/1p2p3/8/1n1P2Q1/2N5/PP3PPP/RBB2RK1 b - - 6 16,-43
2r1qrk1/pb1pb1pp/1p2p3/8/1n1P2Q1/2N5/PP3PPP/RBB2RK1 w - - 7 17,47
2r1qrk1/pb1pb1pp/1p2p3/6B1/1n1P2Q1/2N5/PP3PPP/RB3RK1 b - - 8 17,-47
2r1qrk1/pb1p2pp/1p2p3/6b1/1n1P2Q1/2N5/PP3PPP/RB3RK1 w - - 0 18,-6
2r1qrk1/pb1p2pp/1p2p3/6Q1/1n1P4/2N5/PP3PPP/RB3RK1 b - - 0 18,-68
2r2rk1/pb1p1qpp/1p2p3/6Q1/1n1P4/2N5/PP3PPP/RB3RK1 w - - 1 19,15
2r2rk1/pb1p1qpp/1p2p3/8/1n1P3Q/2N5/PP3PPP/RB3RK1 b - - 2 19,-69
2r2rk1/pb1p1q1p/1p2p1p1/8/1n1P3Q/2N5/PP3PPP/RB3RK1 w - - 0 20,-23
2r2rk1/pb1p1q1p/1p2p1p1/8/1n1P3Q/P1N5/1P3PPP/RB3RK1 b - - 0 20,-59
2r2rk1/pb1p1q1p/1p2p1p1/3n4/3P3Q/P1N5/1P3PPP/RB3RK1 w - - 1 21,-42
2r2rk1/pb1p1q1p/1p2p1p1/3n4/3PN2Q/P7/1P3PPP/RB3RK1 b - - 2 21,-236
2r2rk1/pb1p3p/1p2p1p1/3n4/3PNq1Q/P7/1P3PPP/RB3RK1 w - - 3 22,-60
2r2rk1/pb1p3p/1p2p1p1/3n4/3PNQ2/P7/1P3PPP/RB3RK1 b - - 0 22,-124
2r2rk1/pb1p3p/1p2p1p1/8/3PNn2/P7/1P3PPP/RB3RK1 w - - 0 23,-98
2r2rk1/pb1p3p/1p2p1p1/8/3PNn2/P7/1P3PPP/RB1R2K1 b - - 1 23,-140
2r2rk1/p2p3p/1p2p1p1/3b4/3PNn2/P7/1P3PPP/RB1R2K1 w - - 2 24,-18
2r2rk1/p2p3p/1p2p1p1/3b4/3PNn2/P4P2/1P4PP/RB1R2K1 b - - 0 24,-61
2r2rk1/p2p3p/1p2p1p1/8/3PNn2/Pb3P2/1P4PP/RB1R2K1 w - - 1 25,-64
2r2rk1/p2p3p/1p2p1p1/8/3PNn2/Pb3P2/1P4PP/RB2R1K1 b - - 2 25,-90
2r2rk1/p2p3p/1p2p1p1/3n4/3PN3/Pb3P2/1P4PP/RB2R1K1 w - - 3 26,-18
2r2rk1/p2p3p/1p2p1p1/3n4/3PN3/Pb1B1P2/1P4PP/R3R1K1 b - - 4 26,-55
2r2rk1/p2p3p/1p2p1p1/3n4/2bPN3/P2B1P2/1P4PP/R3R1K1 w - - 5 27,0
r1bqk2r/pp1pppbp/1nn3p1/4P3/2P5/2P2N2/P1BP1PPP/RNBQK2R b KQkq - 0 9,-66
r1bqk2r/pp1pppbp/1n4p1/4n3/2P5/2P2N2/P1BP1PPP/RNBQK2R w KQkq - 0 10,52
r1bqk2r/pp1pppbp/1n4p1/4N3/2P5/2P5/P1BP1PPP/RNBQK2R b KQkq - 0 10,-54
r1bqk2r/pp1ppp1p/1n4p1/4b3/2P5/2P5/P1BP1PPP/RNBQK2R w KQkq - 0 11,30
r1bqk2r/pp1ppp1p/1n4p1/2P1b3/8/2P5/P1BP1PPP/RNBQK2R b KQkq - 0 11,-18
r1bqk2r/pp1ppp1p/6p1/2Pnb3/8/2P5/P1BP1PPP/RNBQK2R w KQkq - 1 12,76
r1bqk2r/pp1ppp1p/6p1/2Pnb3/8/2P2Q2/P1BP1PPP/RNB1K2R b KQkq - 2 12,-17
r1bqk2r/ppnppp1p/6p1/2P1b3/8/2P2Q2/P1BP1PPP/RNB1K2R w KQkq - 3 13,74
r1bqk2r/ppnppp1p/6p1/2P1b3/8/2P2Q2/P1BP1PPP/RNB2RK1 b kq - 4 13,-21
r1bq1rk1/ppnppp1p/6p1/2P1b3/8/2P2Q2/P1BP1PPP/RNB2RK1 w - - 5 14,46
r1bq1rk1/ppnppp1p/6p1/2P1b3/3P4/2P2Q2/P1B2PPP/RNB2RK1 b - - 0 14,0
r1bq1rk1/ppnpppbp/6p1/2P5/3P4/2P2Q2/P1B2PPP/RNB2RK1 w - - 1 15,38
r1bq1rk1/ppnpppbp/6p1/2P5/3P1B2/2P2Q2/P1B2PPP/RN3RK1 b - - 2 15,0
r1bq1rk1/pp1pppbp/4n1p1/2P5/3P1B2/2P2Q2/P1B2PPP/RN3RK1 w - - 3 16,79
r1bq1rk1/pp1pppbp/4n1p1/2P5/3P4/2P2QB1/P1B2PPP/RN3RK1 b - - 4 16,30
r1bq1rk1/pp2ppbp/3pn1p1/2P5/3P4/2P2QB1/P1B2PPP/RN3RK1 w - - 0 17,73
r1bq1rk1/pp2ppbp/3Pn1p1/8/3P4/2P2QB1/P1B2PPP/RN3RK1 b - - 0 17,0
r1bq1rk1/pp3pbp/3pn1p1/8/3P4/2P2QB1/P1B2PPP/RN3RK1 w - - 0 18,66
r1bq1rk1/pp3pbp/3pn1p1/8/3P4/2P2QB1/P1BN1PPP/R4RK1 b - - 1 18,0
r1bq1rk1/pp4bp/3pn1p1/5p2/3P4/2P2QB1/P1BN1PPP/R4RK1 w - - 0 19,76
r1bq1rk1/pp4bp/3pn1p1/5p2/3P4/1BP2QB1/P2N1PPP/R4RK1 b - - 1 19,15
r1bq1r1k/pp4bp/3pn1p1/5p2/3P4/1BP2QB1/P2N1PPP/R4RK1 w - - 2 20,79
r1bq1r1k/pp4bp/3pn1p1/5p2/3P4/1BP2QB1/P2N1PPP/R3R1K1 b - - 3 20,47
r1bq1r1k/pp4bp/3p2p1/5p2/3n4/1BP2QB1/P2N1PPP/R3R1K1 w - - 0 21,480
r1bq1r1k/pp4bp/3p2p1/5p2/3P4/1B3QB1/P2N1PPP/R3R1K1 b - - 0 21,465
r1bq1r1k/pp4bp/3p2p1/8/3P1p2/1B3QB1/P2N1PPP/R3R1K1 w - - 0 22,584
r1bq1r1k/pp4bp/3p2p1/8/3P1B2/1B3Q2/P2N1PPP/R3R1K1 b - - 0 22,513
r1bq1r1k/pp4bp/3p4/6p1/3P1B2/1B3Q2/P2N1PPP/R3R1K1 w - - 0 23,580
r1bq1r1k/pp4bp/3p4/6pQ/3P1B2/1B6/P2N1PPP/R3R1K1 b - - 1 23,584
2r1k2r/1p2bppp/1n2p3/1N6/8/2P5/1P3PPP/R1BR2K1 b k - 0 19,0
2r2rk1/1p2bppp/1n2p3/1N6/8/2P5/1P3PPP/R1BR2K1 w - - 1 20,13
2r2rk1/1p2bppp/1n2p3/1N6/5B2/2P5/1P3PPP/R2R2K1 b - - 2 20,0
2r2rk1/1p2bppp/4p3/1N1n4/5B2/2P5/1P3PPP/R2R2K1 w - - 3 21,41
2r2rk1/1p2bppp/3Bp3/1N1n4/8/2P5/1P3PPP/R2R2K1 b - - 4 21,13
2r2rk1/1p3ppp/3bp3/1N1n4/8/2P5/1P3PPP/R2R2K1 w - - 0 22,30
2r2rk1/1p3ppp/3Np3/3n4/8/2P5/1P3PPP/R2R2K1 b - - 0 22,-13
5rk1/1p3ppp/2rNp3/3n4/8/2P5/1P3PPP/R2R2K1 w - - 1 23,26
5rk1/1p3ppp/2r1p3/1N1n4/8/2P5/1P3PPP/R2R2K1 b - - 2 23,0
5rk1/1p3ppp/4p3/1Nrn4/8/2P5/1P3PPP/R2R2K1 w - - 3 24,29
5rk1/1p3ppp/3Np3/2rn4/8/2P5/1P3PPP/R2R2K1 b - - 4 24,-13
r1bq1rk1/pp3ppp/2nbp3/3n4/2Pp4/5NP1/PP3PBP/RNBQ1RK1 b - - 0 10,-61
r1bq1rk1/pp3ppp/1nnbp3/8/2Pp4/5NP1/PP3PBP/RNBQ1RK1 w - - 1 11,-8
r1bq1rk1/pp3ppp/1nnbp3/8/2PN4/6P1/PP3PBP/RNBQ1RK1 b - - 0 11,-53
r1bq1rk1/pp3ppp/1n1bp3/8/2Pn4/6P1/PP3PBP/RNBQ1RK1 w - - 0 12,38
r1bq1rk1/pp3ppp/1n1bp3/8/2PQ4/6P1/PP3PBP/RNB2RK1 b - - 0 12,-12
r1b2rk1/ppq2ppp/1n1bp3/8/2PQ4/6P1/PP3PBP/RNB2RK1 w - - 1 13,34
r1b2rk1/ppq2ppp/1n1bp3/8/2PQ4/2N3P1/PP3PBP/R1B2RK1 b - - 2 13,0
r4rk1/ppqb1ppp/1n1bp3/8/2PQ4/2N3P1/PP3PBP/R1B2RK1 w - - 3 14,74
r4rk1/ppqb1ppp/1n1bp3/8/2PQ4/2N3P1/PP3PBP/R1BR2K1 b - - 4 14,39
r4rk1/ppqb1ppp/1n2p3/2b5/2PQ4/2N3P1/PP3PBP/R1BR2K1 w - - 5 15,70
r4rk1/ppqb1ppp/1n2p3/2b5/2P2Q2/2N3P1/PP3PBP/R1BR2K1 b - - 6 15,-50
r4rk1/ppqb1ppp/1n6/2b1p3/2P2Q2/2N3P1/PP3PBP/R1BR2K1 w - - 0 16,-13
r4rk1/ppqb1ppp/1n6/2b1p3/2P4Q/2N3P1/PP3PBP/R1BR2K1 b - - 1 16,-63
r4rk1/ppq2ppp/1nb5/2b1p3/2P4Q/2N3P1/PP3PBP/R1BR2K1 w - - 2 17,0
r4rk1/ppq2ppp/1nb5/2bNp3/2P4Q/6P1/PP3PBP/R1BR2K1 b - - 3 17,-58
r4rk1/ppq2ppp/1n6/2bbp3/2P4Q/6P1/PP3PBP/R1BR2K1 w - - 0 18,-1
r4rk1/ppq2ppp/1n6/2bPp3/7Q/6P1/PP3PBP/R1BR2K1 b - - 0 18,-70
r4rk1/ppq2ppp/1n6/3Pp3/3b3Q/6P1/PP3PBP/R1BR2K1 w - - 1 19,38
r4rk1/ppq2ppp/1n6/3Pp3/3R3Q/6P1/PP3PBP/R1B3K1 b - - 0 19,-21
r4rk1/ppq2ppp/1n6/3P4/3p3Q/6P1/PP3PBP/R1B3K1 w - - 0 20,0
r4rk1/ppq2ppp/1n6/3P4/3Q4/6P1/PP3PBP/R1B3K1 b - - 0 20,0
r4rk1/pp3ppp/1n6/3P4/2qQ4/6P1/PP3PBP/R1B3K1 w - - 1 21,0
r4rk1/pp3ppp/1n6/3P4/2q5/6P1/PP3PBP/R1BQ2K1 b - - 2 21,-8
3r1rk1/pp3ppp/1n6/3P4/2q5/6P1/PP3PBP/R1BQ2K1 w - - 3 22,-38
3r1rk1/pp3ppp/1n6/3P2B1/2q5/6P1/PP3PBP/R2Q2K1 b - - 4 22,-26
3r1rk1/pp4pp/1n3p2/3P2B1/2q5/6P1/PP3PBP/R2Q2K1 w - - 0 23,14
3r1rk1/pp4pp/1n3p2/3P2B1/2q5/1P4P1/P4PBP/R2Q2K1 b - - 0 23,0
3r1rk1/pp4pp/1n3p2/1q1P2B1/8/1P4P1/P4PBP/R2Q2K1 w - - 1 24,46
3r1rk1/pp4pp/1n3p2/1q1P2B1/P7/1P4P1/5PBP/R2Q2K1 b - - 0 24,-13
3r1rk1/pp1q2pp/1n3p2/3P2B1/P7/1P4P1/5PBP/R2Q2K1 w - - 1 25,30
3r1rk1/pp1q2pp/1n3p2/3P4/P7/1P2B1P1/5PBP/R2Q2K1 b - - 2 25,-26
3r1rk1/pp1q2pp/5p2/3n4/P7/1P2B1P1/5PBP/R2Q2K1 w - - 0 26,0
3r1rk1/Bp1q2pp/5p2/3n4/P7/1P4P1/5PBP/R2Q2K1 b - - 0 26,-18
3r1rk1/Bp3qpp/5p2/3n4/P7/1P4P1/5PBP/R2Q2K1 w - - 1 27,51
